"name" "ra" "dec"
"Kepler-1362" 288.53854 40.87711
"Kepler-1363" 296.99655 49.25642
"Kepler-1364" 295.15219 49.587601
"Kepler-1365" 292.19971 42.046089
"Kepler-1366" 285.06491 41.554871
"Kepler-1367" 288.41653 47.878731
"Kepler-1368" 294.76697 41.64468
"Kepler-1369" 285.79724 40.93618
"Kepler-137" 282.13553 43.039101
"Kepler-1370" 284.56567 41.778481
"Kepler-1371" 288.83136 47.551991
"Kepler-1372" 288.88663 44.83955
"Kepler-1373" 285.75204 39.24921
"Kepler-1374" 291.34998 45.172272
"Kepler-1375" 296.29355 43.403271
"Kepler-1376" 286.95844 42.541382
"Kepler-1377" 289.19547 46.651699
"Kepler-1378" 297.37332 40.366402
"Kepler-1379" 293.67047 41.410252
"Kepler-138" 290.3815 43.292988
"Kepler-1380" 288.11606 42.440418
"Kepler-1381" 287.53577 48.727791
"Kepler-1382" 295.37738 39.048031
"Kepler-1383" 297.94476 42.191879
"Kepler-1384" 296.21518 39.52705
"Kepler-1385" 282.63138 46.48111
"Kepler-1386" 280.82339 42.636051
"Kepler-1387" 292.4404 43.209431
"Kepler-1388" 283.33606 47.174541
"Kepler-1389" 285.71741 44.758419
"Kepler-139" 282.39194 43.889351
"Kepler-1390" 298.66235 48.24876
"Kepler-1391" 294.83102 46.659592
"Kepler-1392" 288.76697 46.394421
"Kepler-1393" 284.45947 40.142559
"Kepler-1394" 283.45319 45.084141
"Kepler-1395" 292.33755 47.6642
"Kepler-1396" 294.33646 44.918289
"Kepler-1397" 299.67587 47.07584
"Kepler-1398" 294.86618 48.638981
"Kepler-1399" 293.31168 46.04171
"Kepler-14" 287.70883 47.33305
"Kepler-140" 287.36948 46.768219
"Kepler-1401" 287.46606 40.75845
"Kepler-1402" 291.84781 48.968128
"Kepler-1403" 290.86771 38.960121
"Kepler-1404" 296.00943 50.498379
"Kepler-1405" 295.68484 39.256142
"Kepler-1406" 292.08185 38.915031
"Kepler-1407" 283.94244 41.4716
"Kepler-1408" 282.69995 45.42577
"Kepler-1409" 290.08478 51.208599
"Kepler-141" 297.97089 47.731682
"Kepler-1410" 290.51019 38.743542
"Kepler-1411" 286.36157 42.963921
"Kepler-1412" 292.18011 49.20248
"Kepler-1413" 294.34164 46.49876
"Kepler-1414" 284.92859 42.42231
"Kepler-1415" 285.15692 47.873329
"Kepler-1416" 298.66348 43.89407
"Kepler-1417" 290.94989 40.605221
"Kepler-1418" 282.9975 41.678551
"Kepler-1419" 292.25464 37.97142
"Kepler-142" 295.1189 48.481281
"Kepler-1420" 296.20383 42.777828
"Kepler-1421" 286.5806 48.544189
"Kepler-1422" 293.8902 48.336121
"Kepler-1423" 288.24377 41.110081
"Kepler-1424" 290.99167 40.229321
"Kepler-1425" 294.95102 43.012428
"Kepler-1426" 292.54575 49.416969
"Kepler-1427" 295.34967 45.114552
"Kepler-1428" 297.64227 49.594978
"Kepler-1429" 285.36624 49.044868
"Kepler-143" 298.06769 49.412601
"Kepler-1430" 289.69748 43.372089
"Kepler-1431" 292.65839 49.865189
"Kepler-1432" 295.52417 49.829552
"Kepler-1433" 287.36328 49.45689
"Kepler-1434" 295.53839 51.202961
"Kepler-1435" 291.17328 44.921131
"Kepler-1436" 297.71158 46.768021
"Kepler-1437" 291.86493 49.32592
"Kepler-1438" 289.28979 40.681671
"Kepler-1439" 285.73981 40.980049
"Kepler-144" 281.91568 42.775509
"Kepler-1440" 285.34695 48.312248
"Kepler-1441" 293.71912 43.124592
"Kepler-1442" 291.25562 48.846924
"Kepler-1443" 283.43576 47.06686
"Kepler-1444" 285.33063 42.040428
"Kepler-1445" 280.24945 43.915058
"Kepler-1446" 289.42395 46.72617
"Kepler-1447" 289.64343 50.727089
"Kepler-1448" 287.8674 50.595581
"Kepler-1449" 288.23175 50.567879
"Kepler-145" 291.38776 44.52911
"Kepler-1450" 294.55383 45.08139
"Kepler-1451" 293.44644 40.409889
"Kepler-1452" 292.42282 38.266331
"Kepler-1453" 286.12555 47.947609
"Kepler-1454" 284.22333 48.831772
"Kepler-1455" 294.08307 50.502769
"Kepler-1456" 286.94531 43.822769
"Kepler-1457" 283.7706 42.027241
"Kepler-1458" 283.21161 41.038059
"Kepler-1459" 282.42303 46.014019
"Kepler-146" 294.11075 38.710232
"Kepler-1460" 285.5578 44.010792
"Kepler-1461" 285.83047 43.198391
"Kepler-1462" 296.39752 42.396919
"Kepler-1463" 294.4873 42.00692
"Kepler-1464" 287.23569 38.754162
"Kepler-1465" 289.81934 51.90485
"Kepler-1466" 289.83121 44.609859
"Kepler-1467" 295.04855 45.342682
"Kepler-1468" 293.51984 41.277409
"Kepler-1469" 293.82135 39.39135
"Kepler-147" 287.97577 39.087181
"Kepler-1470" 288.69501 39.883202
"Kepler-1471" 289.66489 50.020039
"Kepler-1472" 294.85263 49.057468
"Kepler-1473" 290.63657 48.996078
"Kepler-1474" 294.69406 45.86684
"Kepler-1475" 295.94827 44.75312
"Kepler-1476" 284.5321 43.98996
"Kepler-1477" 281.29855 42.685749
"Kepler-1478" 293.1651 41.746231
"Kepler-1479" 285.71191 49.706661
"Kepler-148" 289.78622 46.858791
"Kepler-1480" 291.99976 49.301811
"Kepler-1481" 289.43896 49.73122
"Kepler-1482" 285.31381 48.72525
"Kepler-1483" 295.40979 42.150829
"Kepler-1484" 292.68427 38.126282
"Kepler-1485" 298.09543 44.737061
"Kepler-1486" 290.59039 45.439709
"Kepler-1488" 286.64642 49.937778
"Kepler-1489" 281.29581 44.465401
"Kepler-149" 285.85367 38.384121
"Kepler-1490" 295.69357 42.609509
"Kepler-1491" 293.62976 45.74065
"Kepler-1492" 288.59711 41.03643
"Kepler-1493" 288.54913 38.565231
"Kepler-1494" 282.65741 43.162521
"Kepler-1495" 286.13077 38.779629
"Kepler-1496" 293.97394 45.3507
"Kepler-1497" 296.19614 45.634331
"Kepler-1498" 284.77811 44.916779
"Kepler-1499" 283.98633 41.65041
"Kepler-15" 296.20059 49.140121
"Kepler-150" 288.2341 40.520901
"Kepler-1500" 288.88333 39.74456
