"cataid" "ra" "dec" "sigmaid"
"215" 7422 177.4367 0.7901023 143525
"216" 7434 177.4592 0.7104687 143537
"217" 7435 177.531 0.6365877 143541
"218" 7436 177.548 0.7933805 143538
"219" 7438 177.5624 0.6577199 143542
"220" 7453 177.6997 0.6393489 143558
"221" 7454 177.7092 0.7516181 143557
"222" 7456 177.6113 0.6971305 143559
"223" 7457 177.6273 0.6741068 143561
"224" 7460 177.6634 0.6668388 143562
"225" 7461 177.7036 0.830342 143563
"226" 7466 177.647843651108 0.831980688835515 143568
"227" 7468 177.710452423229 0.814196889353737 143570
"228" 7472 177.6095 0.8197183 143575
"229" 7473 177.6148 0.6681868 143573
"230" 7475 177.6427 0.7207276 143577
"231" 7476 177.6434 0.8186141 143576
"232" 7480 177.8323 0.7600821 143581
"233" 7482 177.7575 0.698556 143582
"234" 7483 177.7615 0.673058 143584
"235" 7484 177.7677 0.6633742 143585
"236" 7487 177.7939 0.8187057 143586
"237" 7489 177.8477 0.7332259 143589
"238" 7490 177.8671 0.728695 143590
"239" 7493 177.765237802913 0.788432338600337 143593
"240" 7496 177.7924 0.706222 143594
"241" 7500 177.8003 0.6600862 143600
"242" 7504 177.8797 0.7003413 143603
"243" 7510 177.905758953333 0.823157563982635 143611
"244" 7511 177.9073 0.7614155 143612
"245" 7512 177.9094 0.8295839 143613
"246" 7513 177.922396429478 0.702362381945319 143610
"247" 7514 177.9552 0.7223321 143614
"248" 7517 177.9971 0.8384462 143615
"249" 7518 178.0074 0.6370631 143616
"250" 7522 177.952981484032 0.80920396670808 143619
"251" 7524 177.9725 0.7506998 143623
"252" 7529 178.024608099486 0.679590994344512 143629
"253" 7541 178.0738 0.6620524 143639
"254" 7551 178.0489 0.7419762 143649
"255" 7554 178.203 0.6619318 143652
"256" 7562 178.205 0.6993937 143656
"257" 7563 178.233106240414 0.683470711328056 143657
"258" 7565 178.2405 0.702696 143659
"259" 7567 178.2417 0.6480433 143661
"260" 7568 178.2422 0.7744702 143662
"261" 7569 178.3126 0.7669977 143663
"262" 7570 178.3214 0.6629397 143664
"263" 7572 178.2026 0.8103702 143666
"264" 7573 178.2567 0.729688 143669
"265" 7577 178.3179 0.7996508 143673
"266" 7590 178.3386 0.7828819 143683
"267" 7592 178.4037 0.8188121 143686
"268" 7593 178.4139 0.640176 143685
"269" 7594 178.4239 0.7240777 143687
"270" 7595 178.4582 0.761033 143688
"271" 7596 178.3442 0.8006705 143689
"272" 7598 178.3462 0.670062 143691
"273" 7599 178.35364087913 0.650644228403841 143692
"274" 7601 178.3741 0.7828694 143696
"275" 7609 178.465 0.7121813 143698
"276" 7618 178.6182 0.6876898 143711
"277" 7619 178.4865 0.7197135 143713
"278" 7622 178.5042 0.6539422 143716
"279" 7623 178.509 0.7852872 143715
"280" 7624 178.5575 0.6527223 143717
"281" 7630 178.512326755036 0.753882640524402 143724
"282" 7634 178.5842 0.6349223 143727
"283" 7639 178.6582 0.8099285 143732
"284" 7641 178.6942 0.6909051 143734
"285" 7642 178.7144 0.6525378 143736
"286" 7643 178.7227 0.811435 143735
"287" 7644 178.7311 0.764366 143738
"288" 7645 178.7405 0.6761252 143740
"289" 7647 178.7827 0.6449743 143741
"290" 7649 178.676 0.8185514 143744
"291" 7651 178.694 0.6719637 143746
"292" 7653 178.7485 0.7161868 143743
"293" 7656 178.750553202157 0.788523489800954 143751
"294" 7657 178.761433787761 0.702562675116142 143747
"295" 7659 178.6593 0.7013169 143752
"296" 7663 178.7987 0.7683717 143756
"297" 7666 178.8383 0.71132 143759
"298" 7670 178.9288 0.8089763 143767
"299" 7675 178.912876845008 0.766526059058133 143768
"300" 7681 178.9419 0.7340463 143774
"301" 7682 178.9485 0.8144577 143775
"302" 7683 178.9355 0.8389531 143776
"303" 7684 178.954 0.645128 143777
"304" 7685 178.9645 0.7490443 143779
"305" 7687 178.9804 0.7483313 143781
"306" 7688 178.9905 0.7233054 143778
"307" 7689 178.9977 0.7913635 143782
"308" 7690 179.0293 0.7062866 143783
"309" 7691 179.0701 0.7804707 143784
"310" 7703 179.1881 0.7422913 143795
"311" 7709 179.146 0.6811131 143799
"312" 7711 179.1679 0.6605947 143803
"313" 7712 179.1794 0.6566032 143804
"314" 7714 179.2094 0.8080026 143806
"315" 7715 179.2287 0.7239165 143807
"316" 7721 179.148238980272 0.689715410587059 143812
"317" 7722 179.162293828454 0.716871808200011 143816
"318" 7735 179.2566 0.751469 143827
"319" 7740 179.3166 0.7291114 143829
"320" 7742 179.2412 0.7116694 143834
"321" 7743 179.2453 0.6772658 143831
"322" 7745 179.2723 0.6892184 143833
"323" 7746 179.2784 0.8235442 143838
"324" 7747 179.2827 0.6696554 143839
"325" 7749 179.2911 0.6835586 143835
"326" 7752 179.3073 0.8386977 143842
"327" 7753 179.316 0.7448679 143841
"328" 7755 179.3294 0.8025463 143843
"329" 7756 179.3341 0.6436573 143844
"330" 7757 179.3367 0.6644144 143845
"331" 7758 179.359 0.6693855 143846
"332" 7759 179.3621 0.6695241 143847
"333" 7761 179.3635 0.7450368 143849
"334" 7765 179.3811 0.8171263 143850
"335" 7767 179.247339281878 0.779885627053228 143855
"336" 7777 179.3498 0.736564 143862
"337" 7782 179.369240867394 0.766431062274813 143870
"338" 7784 179.268 0.8290105 143871
"339" 7791 179.3831 0.7777955 143878
"340" 7792 179.4364 0.7339607 143879
"341" 7793 179.4011 0.8050999 143887
